,Item_id,User_id,Rating,Timestamp,Model_attr,Category,Brand,Year,User_attr,Split,Month
874,48,858,5.0,2002-07-09,Female,Camera & Photo,Sony,2002,Male,0,7
885,14,868,4.0,2002-07-18,Female&Male,Camera & Photo,Kodak,2002,Female,0,7
963,29,945,3.0,2002-09-25,Female&Male,Camera & Photo,Kodak,2002,Male,0,9
971,37,952,5.0,2002-10-05,Female,Camera & Photo,Sony,2002,Female,0,10
1004,48,985,5.0,2002-11-05,Female,Camera & Photo,Sony,2002,Female,0,11
1031,40,1011,5.0,2002-11-25,Female,Camera & Photo,Olympus,2002,Male,0,11
1060,52,991,2.0,2002-12-07,Female,Camera & Photo,Kodak,2002,Male,0,12
1099,58,1078,2.0,2002-12-23,Female,Camera & Photo,JVC,2002,Male,0,12
1100,63,1079,4.0,2002-12-24,Female,Camera & Photo,Olympus,2002,Male,0,12
1131,73,725,5.0,2003-01-06,Female,Camera & Photo,Canon,2003,Female,2,1
1137,59,1115,5.0,2003-01-10,Female,Camera & Photo,Canon,2003,Female,0,1
1170,73,1147,5.0,2003-01-25,Female,Camera & Photo,Canon,2003,Female,0,1
1179,81,1156,5.0,2003-01-28,Female&Male,Computers & Accessories,Linksys,2003,Male,0,1
1192,81,1168,5.0,2003-02-01,Female&Male,Computers & Accessories,Linksys,2003,Female,0,2
1212,81,1188,5.0,2003-02-08,Female&Male,Computers & Accessories,Linksys,2003,Female,0,2
1216,80,1188,4.0,2003-02-08,Female,Computers & Accessories,Linksys,2003,Female,0,2
1222,81,1197,4.0,2003-02-13,Female&Male,Computers & Accessories,Linksys,2003,Male,0,2
1249,73,1222,5.0,2003-02-25,Female,Camera & Photo,Canon,2003,Male,0,2
1252,81,1225,5.0,2003-02-27,Female&Male,Computers & Accessories,Linksys,2003,Male,0,2
1254,83,1225,2.0,2003-02-27,Female,Computers & Accessories,Linksys,2003,Male,2,2
1265,73,1236,5.0,2003-03-04,Female,Camera & Photo,Canon,2003,Female,0,3
1318,81,1289,5.0,2003-03-28,Female&Male,Computers & Accessories,Linksys,2003,Male,0,3
1322,85,1293,1.0,2003-03-31,Male,Television & Video,Sony,2003,Male,0,3
1326,83,1156,5.0,2003-04-03,Female,Computers & Accessories,Linksys,2003,Male,0,4
1327,83,1297,1.0,2003-04-04,Female,Computers & Accessories,Linksys,2003,Male,0,4
1343,81,1313,5.0,2003-04-13,Female&Male,Computers & Accessories,Linksys,2003,Male,0,4
1361,73,1329,5.0,2003-04-20,Female,Camera & Photo,Canon,2003,Male,0,4
1415,94,1377,4.0,2003-05-15,Female,Camera & Photo,Nikon,2003,Male,0,5
1422,17,1383,5.0,2003-05-19,Female,Camera & Photo,Fujifilm,2003,Male,0,5
1425,91,1386,5.0,2003-05-20,Male,Camera & Photo,Sony,2003,Female,0,5
1440,95,1401,5.0,2003-06-01,Female,Camera & Photo,Olympus,2003,Female,0,6
1485,83,1443,5.0,2003-06-29,Female,Computers & Accessories,Linksys,2003,Male,0,6
1506,89,28,5.0,2003-07-07,Male,Camera & Photo,Sony,2003,Female,0,7
1507,96,1463,5.0,2003-07-08,Female,Computers & Accessories,Toshiba,2003,Female,0,7
1508,81,1464,4.0,2003-07-08,Female&Male,Computers & Accessories,Linksys,2003,Male,0,7
1533,83,1489,1.0,2003-07-20,Female,Computers & Accessories,Linksys,2003,Male,0,7
1552,37,1508,4.0,2003-07-29,Female,Camera & Photo,Sony,2003,Male,0,7
1605,95,1559,4.0,2003-08-19,Female,Camera & Photo,Olympus,2003,Male,0,8
1657,97,1610,4.0,2003-09-14,Female,Camera & Photo,Olympus,2003,Male,0,9
1701,92,1651,5.0,2003-10-04,Female,Camera & Photo,Canon,2003,Male,0,10
1720,92,1670,5.0,2003-10-13,Female,Camera & Photo,Canon,2003,Female,0,10
1729,7,1678,1.0,2003-10-19,Female,Home Audio,Philips,2003,Female,0,10
1731,81,1680,3.0,2003-10-20,Female&Male,Computers & Accessories,Linksys,2003,Male,0,10
1739,73,1688,5.0,2003-10-23,Female,Camera & Photo,Canon,2003,Female,0,10
1740,103,1689,4.0,2003-10-23,Female,Camera & Photo,Olympus,2003,Male,0,10
1770,97,1717,5.0,2003-11-06,Female,Camera & Photo,Olympus,2003,Female,0,11
1776,97,1723,5.0,2003-11-10,Female,Camera & Photo,Olympus,2003,Male,0,11
1786,119,1732,5.0,2003-11-14,Female,Computers & Accessories,Toshiba,2003,Male,0,11
1809,73,1755,5.0,2003-11-26,Female,Camera & Photo,Canon,2003,Male,0,11
1819,121,1764,2.0,2003-12-01,Female,Computers & Accessories,Linksys,2003,Male,0,12
1831,81,1732,5.0,2003-12-05,Female&Male,Computers & Accessories,Linksys,2003,Male,0,12
1920,103,1156,4.0,2003-12-25,Female,Camera & Photo,Olympus,2003,Male,0,12
1922,103,1858,5.0,2003-12-26,Female,Camera & Photo,Olympus,2003,Male,0,12
1927,83,1863,1.0,2003-12-27,Female,Computers & Accessories,Linksys,2003,Male,0,12
1943,99,1156,4.0,2003-12-29,Female,Camera & Photo,Olympus,2003,Male,0,12
1970,26,1904,5.0,2004-01-05,Female,Camera & Photo,Sony,2004,Male,0,1
2008,133,1940,5.0,2004-01-19,Male,Computers & Accessories,Kensington,2004,Male,0,1
2095,89,2024,4.0,2004-02-17,Male,Camera & Photo,Sony,2004,Male,0,2
2096,132,2025,4.0,2004-02-18,Female,Camera & Photo,Vivitar,2004,Female,0,2
2170,94,2098,1.0,2004-03-19,Female,Camera & Photo,Nikon,2004,Male,0,3
2205,94,2132,5.0,2004-04-01,Female,Camera & Photo,Nikon,2004,Male,0,4
2216,59,2143,1.0,2004-04-03,Female,Camera & Photo,Canon,2004,Male,0,4
2219,80,1732,5.0,2004-04-05,Female,Computers & Accessories,Linksys,2004,Male,0,4
2236,11,2162,4.0,2004-04-12,Male,Camera & Photo,Panasonic,2004,Male,0,4
2256,121,2180,1.0,2004-04-22,Female,Computers & Accessories,Linksys,2004,Male,0,4
2282,143,2206,5.0,2004-05-01,Female,Camera & Photo,Canon,2004,Male,0,5
2294,140,2218,5.0,2004-05-05,Male,Camera & Photo,Sony,2004,Female,0,5
2298,143,2221,4.0,2004-05-06,Female,Camera & Photo,Canon,2004,Female,0,5
2376,110,2293,5.0,2004-06-01,Female,Camera & Photo,Kodak,2004,Female,0,6
2384,137,2300,1.0,2004-06-03,Female&Male,Camera & Photo,Canon,2004,Male,0,6
2386,155,2302,4.0,2004-06-04,Female,Camera & Photo,Olympus,2004,Male,0,6
2397,146,2313,4.0,2004-06-08,Female,Camera & Photo,Canon,2004,Male,0,6
2409,145,2325,2.0,2004-06-12,Female,Camera & Photo,Canon,2004,Male,0,6
2411,126,2327,5.0,2004-06-13,Female,Computers & Accessories,Sony,2004,Male,0,6
2443,155,2358,3.0,2004-06-23,Female,Camera & Photo,Olympus,2004,Male,0,6
2466,146,2381,5.0,2004-07-01,Female,Camera & Photo,Canon,2004,Male,0,7
2481,145,2394,5.0,2004-07-06,Female,Camera & Photo,Canon,2004,Female,0,7
2505,146,2418,5.0,2004-07-12,Female,Camera & Photo,Canon,2004,Female,0,7
2520,78,2432,1.0,2004-07-20,Male,Camera & Photo,Polaroid,2004,Male,0,7
2566,155,2476,5.0,2004-07-29,Female,Camera & Photo,Olympus,2004,Male,0,7
2591,164,1904,5.0,2004-08-02,Female&Male,Computers & Accessories,Apple,2004,Male,2,8
2595,163,2503,3.0,2004-08-04,Female,Camera & Photo,Kodak,2004,Male,0,8
2598,151,1732,4.0,2004-08-05,Female,Computers & Accessories,Toshiba,2004,Male,0,8
2599,148,2506,5.0,2004-08-05,Male,Camera & Photo,Kodak,2004,Female,0,8
2600,133,2507,4.0,2004-08-07,Male,Computers & Accessories,Kensington,2004,Female,0,8
2605,65,991,2.0,2004-08-08,Female,Camera & Photo,Sony,2004,Male,1,8
2617,148,2522,4.0,2004-08-11,Male,Camera & Photo,Kodak,2004,Male,0,8
2659,167,2563,5.0,2004-08-24,Female,Camera & Photo,Kodak,2004,Male,0,8
2668,157,2572,5.0,2004-08-26,Female&Male,Camera & Photo,Sony,2004,Male,0,8
2676,143,2580,5.0,2004-08-28,Female,Camera & Photo,Canon,2004,Male,0,8
2701,81,2604,2.0,2004-09-06,Female&Male,Computers & Accessories,Linksys,2004,Male,0,9
2717,92,2620,5.0,2004-09-12,Female,Camera & Photo,Canon,2004,Male,0,9
2737,171,2640,4.0,2004-09-15,Female&Male,Camera & Photo,Kodak,2004,Male,0,9
2739,146,2640,5.0,2004-09-16,Female,Camera & Photo,Canon,2004,Male,2,9
2740,175,269,5.0,2004-09-16,Female,Camera & Photo,Kodak,2004,Male,0,9
2749,81,2650,1.0,2004-09-19,Female&Male,Computers & Accessories,Linksys,2004,Male,0,9
2770,145,2669,5.0,2004-09-23,Female,Camera & Photo,Canon,2004,Male,0,9
2775,167,2674,5.0,2004-09-24,Female,Camera & Photo,Kodak,2004,Male,0,9
2799,146,2697,5.0,2004-10-01,Female,Camera & Photo,Canon,2004,Male,0,10
2823,143,2721,3.0,2004-10-09,Female,Camera & Photo,Canon,2004,Male,0,10
2828,142,2726,5.0,2004-10-10,Female,Computers & Accessories,Linksys,2004,Female,0,10
2876,145,2770,5.0,2004-10-27,Female,Camera & Photo,Canon,2004,Male,0,10
2895,154,2787,5.0,2004-11-01,Female&Male,Headphones,EldHus,2004,Male,0,11
2907,191,2799,4.0,2004-11-04,Female,Camera & Photo,Vivitar,2004,Female,0,11
2910,142,2802,4.0,2004-11-05,Female,Computers & Accessories,Linksys,2004,Male,0,11
2918,167,2809,5.0,2004-11-09,Female,Camera & Photo,Kodak,2004,Male,0,11
2923,103,2814,5.0,2004-11-12,Female,Camera & Photo,Olympus,2004,Female,0,11
2926,177,2817,4.0,2004-11-12,Female,Camera & Photo,Fujifilm,2004,Male,0,11
2929,155,2820,2.0,2004-11-13,Female,Camera & Photo,Olympus,2004,Male,0,11
2940,143,2830,4.0,2004-11-16,Female,Camera & Photo,Canon,2004,Female,0,11
2968,195,2857,5.0,2004-11-23,Male,Camera & Photo,Sony,2004,Male,0,11
2975,103,2862,4.0,2004-11-24,Female,Camera & Photo,Olympus,2004,Female,0,11
2979,80,2866,5.0,2004-11-25,Female,Computers & Accessories,Linksys,2004,Male,0,11
3019,92,2904,4.0,2004-12-02,Female,Camera & Photo,Canon,2004,Female,0,12
3031,202,2915,2.0,2004-12-04,Female,Camera & Photo,Sony,2004,Male,0,12
3044,172,2928,5.0,2004-12-07,Male,Camera & Photo,HP,2004,Female,0,12
3076,157,2956,5.0,2004-12-12,Female&Male,Camera & Photo,Sony,2004,Female,0,12
3078,153,2817,2.0,2004-12-12,Male,Camera & Photo,Kodak,2004,Male,1,12
3098,140,2973,4.0,2004-12-15,Male,Camera & Photo,Sony,2004,Male,0,12
3115,145,2989,4.0,2004-12-17,Female,Camera & Photo,Canon,2004,Male,0,12
3118,145,2992,5.0,2004-12-18,Female,Camera & Photo,Canon,2004,Male,0,12
3139,178,3013,1.0,2004-12-23,Female,Home Audio,Bose,2004,Male,0,12
3167,140,3040,5.0,2004-12-26,Male,Camera & Photo,Sony,2004,Male,0,12
3175,189,3048,4.0,2004-12-27,Male,Camera & Photo,HP,2004,Female,0,12
3176,195,3049,3.0,2004-12-27,Male,Camera & Photo,Sony,2004,Female,0,12
3181,146,3053,5.0,2004-12-27,Female,Camera & Photo,Canon,2004,Male,0,12
3189,179,3061,3.0,2004-12-28,Female,Camera & Photo,Canon,2004,Male,0,12
3201,172,3073,5.0,2004-12-29,Male,Camera & Photo,HP,2004,Female,0,12
3208,166,3079,1.0,2004-12-30,Female,Camera & Photo,Kodak,2004,Male,0,12
3221,163,3092,5.0,2004-12-31,Female,Camera & Photo,Kodak,2004,Female,0,12
3230,143,3101,5.0,2005-01-01,Female,Camera & Photo,Canon,2005,Female,0,1
3256,143,3127,4.0,2005-01-04,Female,Camera & Photo,Canon,2005,Female,0,1
3257,187,3128,5.0,2005-01-04,Female,Camera & Photo,Panasonic,2005,Male,0,1
3259,142,3130,5.0,2005-01-05,Female,Computers & Accessories,Linksys,2005,Male,0,1
3315,181,3184,1.0,2005-01-15,Male,Camera & Photo,Olympus,2005,Male,0,1
3327,167,2721,5.0,2005-01-17,Female,Camera & Photo,Kodak,2005,Male,0,1
3343,167,3209,5.0,2005-01-20,Female,Camera & Photo,Kodak,2005,Male,0,1
3361,197,3227,4.0,2005-01-24,Female,Camera & Photo,Olympus,2005,Female,0,1
3417,80,3280,5.0,2005-02-03,Female,Computers & Accessories,Linksys,2005,Male,0,2
3439,167,3300,5.0,2005-02-09,Female,Camera & Photo,Kodak,2005,Male,0,2
3451,143,1383,5.0,2005-02-11,Female,Camera & Photo,Canon,2005,Male,0,2
3456,172,3316,3.0,2005-02-14,Male,Camera & Photo,HP,2005,Male,0,2
3484,160,3343,1.0,2005-02-19,Female,Camera & Photo,Olympus,2005,Male,0,2
3493,98,3352,4.0,2005-02-21,Female,Camera & Photo,Toshiba,2005,Female,0,2
3512,157,3371,5.0,2005-02-27,Female&Male,Camera & Photo,Sony,2005,Male,0,2
3518,157,3377,5.0,2005-03-01,Female&Male,Camera & Photo,Sony,2005,Female,0,3
3556,172,3415,5.0,2005-03-12,Male,Camera & Photo,HP,2005,Female,0,3
3561,219,3420,5.0,2005-03-13,Female,Camera & Photo,Canon,2005,Male,0,3
3568,163,3426,5.0,2005-03-14,Female,Camera & Photo,Kodak,2005,Male,0,3
3578,220,3435,5.0,2005-03-15,Male,Camera & Photo,Canon,2005,Male,0,3
3609,167,3465,5.0,2005-03-20,Female,Camera & Photo,Kodak,2005,Male,0,3
3627,219,3481,4.0,2005-03-22,Female,Camera & Photo,Canon,2005,Male,0,3
3628,190,3482,4.0,2005-03-22,Female,Camera & Photo,Olympus,2005,Male,0,3
3650,228,3504,5.0,2005-03-27,Female,Camera & Photo,Nikon,2005,Female,0,3
3657,220,3511,4.0,2005-03-29,Male,Camera & Photo,Canon,2005,Male,0,3
3694,176,3544,5.0,2005-04-05,Male,Camera & Photo,Fujifilm,2005,Male,0,4
3728,181,3576,4.0,2005-04-13,Male,Camera & Photo,Olympus,2005,Female,0,4
3733,178,3581,1.0,2005-04-14,Female,Home Audio,Bose,2005,Female,0,4
3742,167,3590,5.0,2005-04-17,Female,Camera & Photo,Kodak,2005,Male,0,4
3764,177,3611,4.0,2005-04-21,Female,Camera & Photo,Fujifilm,2005,Female,0,4
3766,146,3613,4.0,2005-04-22,Female,Camera & Photo,Canon,2005,Male,0,4
3768,166,3615,3.0,2005-04-22,Female,Camera & Photo,Kodak,2005,Female,0,4
3777,140,3624,4.0,2005-04-25,Male,Camera & Photo,Sony,2005,Female,0,4
3786,49,3633,5.0,2005-04-27,Female,Camera & Photo,Sony,2005,Male,0,4
3818,220,3663,5.0,2005-05-03,Male,Camera & Photo,Canon,2005,Male,0,5
3842,172,3687,5.0,2005-05-09,Male,Camera & Photo,HP,2005,Male,0,5
3871,95,3715,4.0,2005-05-15,Female,Camera & Photo,Olympus,2005,Female,0,5
3879,80,3723,5.0,2005-05-17,Female,Computers & Accessories,Linksys,2005,Male,0,5
3882,219,3726,4.0,2005-05-18,Female,Camera & Photo,Canon,2005,Female,0,5
3930,110,3772,3.0,2005-05-30,Female,Camera & Photo,Kodak,2005,Female,0,5
3947,146,3789,5.0,2005-06-03,Female,Camera & Photo,Canon,2005,Male,0,6
3975,140,3815,1.0,2005-06-08,Male,Camera & Photo,Sony,2005,Female,0,6
4005,147,3845,5.0,2005-06-17,Female,Camera & Photo,Kodak,2005,Female,0,6
4098,190,3932,4.0,2005-07-05,Female,Camera & Photo,Olympus,2005,Male,0,7
4099,228,3933,5.0,2005-07-05,Female,Camera & Photo,Nikon,2005,Female,0,7
4105,243,3939,5.0,2005-07-06,Female,Camera & Photo,Nikon,2005,Male,0,7
4113,218,3947,5.0,2005-07-07,Female,Camera & Photo,Nikon,2005,Male,0,7
4119,181,3953,5.0,2005-07-08,Male,Camera & Photo,Olympus,2005,Female,0,7
4137,237,3969,5.0,2005-07-10,Female,Camera & Photo,Panasonic,2005,Female,0,7
4144,187,3976,4.0,2005-07-12,Female,Camera & Photo,Panasonic,2005,Female,0,7
4166,187,3997,2.0,2005-07-17,Female,Camera & Photo,Panasonic,2005,Male,0,7
4176,235,4007,3.0,2005-07-19,Female,Camera & Photo,Fujifilm,2005,Male,0,7
4192,219,4022,5.0,2005-07-22,Female,Camera & Photo,Canon,2005,Male,0,7
4196,195,4025,3.0,2005-07-23,Male,Camera & Photo,Sony,2005,Male,0,7
4210,142,4037,2.0,2005-07-26,Female,Computers & Accessories,Linksys,2005,Female,0,7
4213,232,4040,5.0,2005-07-26,Female,Camera & Photo,Olympus,2005,Female,0,7
4255,217,4081,5.0,2005-07-30,Female,Camera & Photo,Kodak,2005,Male,0,7
4268,191,4094,4.0,2005-08-01,Female,Camera & Photo,Vivitar,2005,Female,0,8
4278,255,4104,5.0,2005-08-02,Male,Camera & Photo,Kodak,2005,Female,0,8
4307,234,4132,5.0,2005-08-05,Female,Camera & Photo,Nikon,2005,Male,0,8
4380,256,4204,5.0,2005-08-13,Female,Camera & Photo,Olympus,2005,Female,0,8
4388,217,4212,4.0,2005-08-14,Female,Camera & Photo,Kodak,2005,Male,0,8
4394,140,4218,4.0,2005-08-15,Male,Camera & Photo,Sony,2005,Female,0,8
4450,160,4273,5.0,2005-08-21,Female,Camera & Photo,Olympus,2005,Male,0,8
4455,176,4278,5.0,2005-08-22,Male,Camera & Photo,Fujifilm,2005,Male,0,8
4460,145,4282,5.0,2005-08-23,Female,Camera & Photo,Canon,2005,Female,0,8
4462,232,4284,4.0,2005-08-23,Female,Camera & Photo,Olympus,2005,Female,0,8
4532,263,4354,4.0,2005-08-31,Female,Camera & Photo,Kodak,2005,Male,0,8
4562,143,4384,1.0,2005-09-06,Female,Camera & Photo,Canon,2005,Female,0,9
4576,220,4398,4.0,2005-09-07,Male,Camera & Photo,Canon,2005,Male,0,9
4577,265,4399,3.0,2005-09-07,Female,Camera & Photo,Olympus,2005,Female,0,9
4581,229,4403,5.0,2005-09-07,Male,Camera & Photo,Fujifilm,2005,Male,0,9
4600,265,4422,5.0,2005-09-09,Female,Camera & Photo,Olympus,2005,Female,0,9
4604,81,4426,1.0,2005-09-09,Female&Male,Computers & Accessories,Linksys,2005,Female,0,9
4610,81,4432,5.0,2005-09-10,Female&Male,Computers & Accessories,Linksys,2005,Male,0,9
4614,83,4432,5.0,2005-09-10,Female,Computers & Accessories,Linksys,2005,Male,1,9
4628,154,4449,5.0,2005-09-11,Female&Male,Headphones,EldHus,2005,Female,0,9
4643,145,4464,3.0,2005-09-13,Female,Camera & Photo,Canon,2005,Male,0,9
4650,140,4471,1.0,2005-09-14,Male,Camera & Photo,Sony,2005,Male,0,9
4652,143,4473,4.0,2005-09-14,Female,Camera & Photo,Canon,2005,Female,0,9
4653,265,4474,5.0,2005-09-14,Female,Camera & Photo,Olympus,2005,Male,0,9
4662,219,4483,3.0,2005-09-15,Female,Camera & Photo,Canon,2005,Male,0,9
4672,104,4493,5.0,2005-09-16,Male,Computers & Accessories,Sennheiser,2005,Male,0,9
4673,237,4494,5.0,2005-09-16,Female,Camera & Photo,Panasonic,2005,Male,0,9
4771,81,4588,3.0,2005-09-29,Female&Male,Computers & Accessories,Linksys,2005,Male,0,9
4835,262,4650,4.0,2005-10-07,Female,Camera & Photo,Kodak,2005,Male,0,10
4849,150,4663,4.0,2005-10-09,Female,Television & Video,Toshiba,2005,Male,0,10
4850,252,4664,4.0,2005-10-09,Female&Male,Camera & Photo,Kodak,2005,Male,0,10
4860,172,4673,5.0,2005-10-10,Male,Camera & Photo,HP,2005,Female,0,10
4868,142,4681,5.0,2005-10-11,Female,Computers & Accessories,Linksys,2005,Male,0,10
4903,262,4715,4.0,2005-10-15,Female,Camera & Photo,Kodak,2005,Male,0,10
4949,145,4759,1.0,2005-10-21,Female,Camera & Photo,Canon,2005,Male,0,10
4968,179,4778,5.0,2005-10-24,Female,Camera & Photo,Canon,2005,Male,0,10
4977,217,4787,5.0,2005-10-26,Female,Camera & Photo,Kodak,2005,Male,0,10
4979,251,4789,4.0,2005-10-27,Female,Camera & Photo,Kodak,2005,Female,0,10
4998,217,4808,5.0,2005-10-31,Female,Camera & Photo,Kodak,2005,Female,0,10
5028,252,4838,4.0,2005-11-07,Female&Male,Camera & Photo,Kodak,2005,Female,0,11
5035,219,4845,3.0,2005-11-08,Female,Camera & Photo,Canon,2005,Male,0,11
5043,175,4853,5.0,2005-11-10,Female,Camera & Photo,Kodak,2005,Female,0,11
5070,157,4880,1.0,2005-11-17,Female&Male,Camera & Photo,Sony,2005,Male,0,11
5081,284,4891,5.0,2005-11-19,Female&Male,Camera & Photo,Vivitar,2005,Female,0,11
5091,285,4900,2.0,2005-11-21,Male,Camera & Photo,JVC,2005,Female,0,11
5113,220,2381,5.0,2005-11-25,Male,Camera & Photo,Canon,2005,Male,0,11
5124,154,4932,5.0,2005-11-27,Female&Male,Headphones,EldHus,2005,Female,0,11
5125,190,4933,5.0,2005-11-27,Female,Camera & Photo,Olympus,2005,Male,0,11
5126,214,4934,5.0,2005-11-27,Female,Camera & Photo,Olympus,2005,Female,0,11
5137,264,4932,4.0,2005-11-29,Female&Male,Camera & Photo,Kodak,2005,Female,0,11
5165,220,1329,4.0,2005-12-03,Male,Camera & Photo,Canon,2005,Male,0,12
5187,146,4992,5.0,2005-12-07,Female,Camera & Photo,Canon,2005,Female,0,12
5188,179,4993,5.0,2005-12-07,Female,Camera & Photo,Canon,2005,Female,0,12
5192,157,4997,2.0,2005-12-08,Female&Male,Camera & Photo,Sony,2005,Female,0,12
5198,250,5002,5.0,2005-12-09,Female,Camera & Photo,Kodak,2005,Male,0,12
5201,217,5005,5.0,2005-12-09,Female,Camera & Photo,Kodak,2005,Female,0,12
5233,234,5037,1.0,2005-12-14,Female,Camera & Photo,Nikon,2005,Male,0,12
5267,219,5069,4.0,2005-12-18,Female,Camera & Photo,Canon,2005,Male,0,12
5288,264,5090,2.0,2005-12-21,Female&Male,Camera & Photo,Kodak,2005,Female,0,12
5337,189,5137,3.0,2005-12-27,Male,Camera & Photo,HP,2005,Male,0,12
5343,224,5143,3.0,2005-12-28,Female,Camera & Photo,Panasonic,2005,Male,0,12
5367,259,5165,5.0,2005-12-30,Male,Headphones,Sennheiser,2005,Male,0,12
5374,80,5172,3.0,2005-12-30,Female,Computers & Accessories,Linksys,2005,Male,0,12
5384,145,5182,4.0,2005-12-31,Female,Camera & Photo,Canon,2005,Male,0,12
5385,255,5183,3.0,2005-12-31,Male,Camera & Photo,Kodak,2005,Female,0,12
5389,252,5187,4.0,2005-12-31,Female&Male,Camera & Photo,Kodak,2005,Male,0,12
5430,234,5225,5.0,2006-01-04,Female,Camera & Photo,Nikon,2006,Male,0,1
5456,81,5250,5.0,2006-01-08,Female&Male,Computers & Accessories,Linksys,2006,Male,0,1
5462,251,5256,1.0,2006-01-08,Female,Camera & Photo,Kodak,2006,Female,0,1
5493,200,5286,2.0,2006-01-13,Female,Camera & Photo,Kodak,2006,Female,0,1
5494,166,5287,5.0,2006-01-13,Female,Camera & Photo,Kodak,2006,Female,0,1
5509,252,5301,4.0,2006-01-15,Female&Male,Camera & Photo,Kodak,2006,Male,0,1
5528,220,5319,3.0,2006-01-18,Male,Camera & Photo,Canon,2006,Male,0,1
5563,154,5354,5.0,2006-01-25,Female&Male,Headphones,EldHus,2006,Female,0,1
5599,234,5389,1.0,2006-01-29,Female,Camera & Photo,Nikon,2006,Female,0,1
5611,217,5400,5.0,2006-01-30,Female,Camera & Photo,Kodak,2006,Male,0,1
5625,255,5414,4.0,2006-01-31,Male,Camera & Photo,Kodak,2006,Female,0,1
5626,252,5415,5.0,2006-01-31,Female&Male,Camera & Photo,Kodak,2006,Female,0,1
5632,220,5421,5.0,2006-02-01,Male,Camera & Photo,Canon,2006,Male,0,2
5645,220,5434,4.0,2006-02-03,Male,Camera & Photo,Canon,2006,Male,0,2
5662,65,5451,3.0,2006-02-06,Female,Camera & Photo,Sony,2006,Male,0,2
5709,237,4650,5.0,2006-02-15,Female,Camera & Photo,Panasonic,2006,Male,1,2
5715,217,5503,5.0,2006-02-15,Female,Camera & Photo,Kodak,2006,Female,0,2
5716,157,5504,1.0,2006-02-15,Female&Male,Camera & Photo,Sony,2006,Female,0,2
5718,236,5506,4.0,2006-02-16,Male,Headphones,Philips,2006,Male,0,2
5724,223,5512,1.0,2006-02-17,Female,Camera & Photo,Panasonic,2006,Male,0,2
5728,261,5516,5.0,2006-02-18,Female&Male,Camera & Photo,Kodak,2006,Female,0,2
5740,243,5528,2.0,2006-02-19,Female,Camera & Photo,Nikon,2006,Female,0,2
5759,234,5547,5.0,2006-02-21,Female,Camera & Photo,Nikon,2006,Male,0,2
5776,261,5564,5.0,2006-02-22,Female&Male,Camera & Photo,Kodak,2006,Male,0,2
5779,231,5567,5.0,2006-02-23,Male,Camera & Photo,Nikon,2006,Male,0,2
5808,217,5596,4.0,2006-02-24,Female,Camera & Photo,Kodak,2006,Male,0,2
5840,255,5628,5.0,2006-02-26,Male,Camera & Photo,Kodak,2006,Female,0,2
5869,142,5657,4.0,2006-02-28,Female,Computers & Accessories,Linksys,2006,Female,0,2
5890,243,5677,4.0,2006-03-02,Female,Camera & Photo,Nikon,2006,Female,0,3
